"","Sex","Age","Height","Weight","NOC","Medal","Sport","cluster"
"60381","M",52,168,68,"USA","Bronze","Equestrianism",3
"60399","M",27,190,91,"AUS","Silver","Rowing",2
"60405","M",21,167,51,"CUB","Silver","Boxing",3
"60413","M",28,169,71,"CUB","Silver","Boxing",1
"60414","M",28,175,75,"CUB","Silver","Baseball",1
"60415","M",21,164,67,"FRA","Gold","Weightlifting",3
"60418","F",18,166,64,"NOR","Silver","Handball",3
"60420","F",26,166,64,"NOR","Bronze","Handball",3
"60421","M",20,183,88,"GDR","Bronze","Canoeing",2
"60422","M",24,183,88,"GDR","Gold","Canoeing",2
"60437","M",30,178,71,"FRA","Bronze","Cross Country Skiing",1
"60441","M",24,198,100,"CRO","Bronze","Handball",2
"60443","M",29,198,89,"USA","Gold","Volleyball",2
"60447","M",24,183,93,"EUN","Gold","Handball",2
"60448","M",28,183,93,"ESP","Bronze","Handball",2
"60449","M",32,183,93,"ESP","Bronze","Handball",2
"60459","M",24,187,95,"YUG","Gold","Water Polo",2
"60460","M",28,187,95,"YUG","Gold","Water Polo",2
"60466","F",30,172,63,"YUG","Bronze","Basketball",3
"60468","F",21,179,70,"YUG","Gold","Handball",1
"60473","F",19,177,67,"YUG","Silver","Handball",1
"60474","F",23,177,67,"YUG","Gold","Handball",1
"60486","F",22,172,62,"YUG","Bronze","Basketball",3
"60491","M",26,170,77,"URS","Silver","Judo",1
"60498","M",26,188,82,"USA","Gold","Volleyball",1
"60521","M",24,178,89,"TCH","Silver","Ice Hockey",1
"60526","M",24,186,90,"CZE","Bronze","Athletics",2
"60530","M",20,207,105,"URS","Gold","Basketball",2
"60547","M",23,196,89,"USA","Gold","Swimming",2
"60548","M",27,196,89,"USA","Bronze","Swimming",2
"60550","M",27,196,89,"USA","Gold","Swimming",2
"60556","M",25,172,68,"AUS","Gold","Hockey",1
"60557","M",29,172,68,"AUS","Bronze","Hockey",1
"60558","M",33,172,68,"AUS","Bronze","Hockey",1
"60565","M",26,186,81,"AUS","Silver","Athletics",1
"60567","M",22,180,85,"RUS","Gold","Canoeing",1
"60569","M",25,180,78,"RUS","Bronze","Fencing",1
"60573","F",28,167,53,"RUS","Gold","Fencing",3
"60579","M",26,171,75,"BUL","Bronze","Shooting",1
"60590","F",22,173,60,"NOR","Silver","Cross Country Skiing",3
"60594","F",26,173,60,"NOR","Silver","Cross Country Skiing",3
"60598","F",28,173,60,"NOR","Silver","Cross Country Skiing",3
"60619","M",21,205,91,"KAZ","Bronze","Boxing",2
"60620","M",25,205,91,"KAZ","Bronze","Boxing",2
"60622","M",20,185,67,"POL","Bronze","Boxing",1
"60630","M",22,188,75,"USA","Gold","Athletics",1
"60639","F",19,176,66,"USA","Silver","Cycling",1
"60659","F",20,169,66,"POL","Bronze","Canoeing",3
"60660","F",24,169,66,"POL","Bronze","Canoeing",3
"60681","F",39,168,58,"RUS","Silver","Shooting",3
"60691","M",33,178,86,"URS","Gold","Sailing",1
"60693","F",25,174,58,"USA","Gold","Synchronized Swimming",3
"60718","M",30,182,108,"URS","Bronze","Wrestling",2
"60736","F",27,177,77,"BUL","Silver","Rowing",1
"60737","F",31,177,77,"BUL","Bronze","Rowing",1
"60738","F",35,177,77,"BUL","Gold","Rowing",1
"60748","M",21,167,57,"RUS","Bronze","Boxing",3
"60768","M",28,168,56,"URS","Bronze","Athletics",3
"60772","F",26,178,64,"URS","Gold","Athletics",1
"60773","F",30,178,64,"EUN","Gold","Athletics",1
"60777","F",23,166,66,"UKR","Gold","Biathlon",3
"60787","F",21,172,60,"POL","Bronze","Archery",3
"60793","M",27,178,74,"USA","Bronze","Wrestling",1
"60824","M",27,175,73,"URS","Bronze","Football",1
"60825","M",27,190,86,"CRO","Gold","Handball",2
"60829","M",21,178,86,"TCH","Bronze","Ice Hockey",1
"60830","M",25,178,86,"TCH","Silver","Ice Hockey",1
"60831","M",29,178,86,"TCH","Bronze","Ice Hockey",1
"60838","F",15,168,42,"RUS","Bronze","Rhythmic Gymnastics",3
"60848","M",31,183,98,"AUS","Bronze","Cycling",2
"60867","M",19,196,95,"NZL","Gold","Rowing",2
"60868","M",23,196,95,"NZL","Bronze","Rowing",2
"60896","M",21,183,77,"GBR","Bronze","Swimming",1
"60904","M",21,185,70,"USA","Silver","Athletics",1
"60914","M",24,186,81,"USA","Gold","Athletics",1
"60915","M",28,186,81,"USA","Gold","Athletics",1
"60932","F",22,176,70,"JPN","Bronze","Volleyball",1
"60941","M",24,185,75,"DEN","Gold","Rowing",1
"60942","M",28,185,75,"DEN","Bronze","Rowing",1
"60943","M",32,185,75,"DEN","Gold","Rowing",1
"60944","M",36,185,75,"DEN","Gold","Rowing",1
"60945","M",40,185,75,"DEN","Bronze","Rowing",1
"60960","M",22,186,100,"FRA","Silver","Canoeing",2
"60961","M",34,186,100,"FRA","Bronze","Canoeing",2
"60966","M",28,180,85,"AUT","Silver","Alpine Skiing",1
"60967","M",32,180,85,"AUT","Bronze","Alpine Skiing",1
"60968","M",32,180,85,"AUT","Silver","Alpine Skiing",1
"60969","M",32,180,85,"AUT","Gold","Alpine Skiing",1
"60975","F",16,153,40,"ROU","Silver","Gymnastics",3
"60978","F",16,153,40,"ROU","Silver","Gymnastics",3
"61000","F",21,180,70,"FRG","Bronze","Swimming",1
"61001","M",24,179,77,"GER","Bronze","Athletics",1
"61003","M",27,183,82,"TCH","Silver","Ice Hockey",1
"61010","F",22,177,83,"GDR","Gold","Rowing",1
"61016","M",27,184,72,"DEN","Bronze","Rowing",1
"61017","M",31,184,72,"DEN","Gold","Rowing",1
"61018","M",35,184,72,"DEN","Gold","Rowing",1
"61032","M",22,170,66,"JPN","Bronze","Judo",3
"61033","M",26,170,66,"JPN","Bronze","Judo",3
"61059","F",30,164,69,"SUI","Silver","Curling",3
"61060","M",29,184,80,"GER","Silver","Taekwondo",1
"61074","M",25,179,60,"USA","Silver","Athletics",3
"61088","M",35,180,76,"ESP","Gold","Sailing",1
"61094","F",28,174,70,"ESP","Gold","Sailing",1
"61132","F",23,165,52,"USA","Gold","Athletics",3
"61139","F",26,183,72,"FRG","Bronze","Rowing",1
"61140","M",24,188,81,"GER","Bronze","Canoeing",1
"61150","M",20,168,60,"GBR","Bronze","Judo",3
"61153","F",26,175,66,"USA","Silver","Rowing",1
"61159","F",21,174,62,"GDR","Gold","Athletics",3
"61160","F",21,174,62,"GDR","Gold","Athletics",3
"61161","F",25,174,62,"GDR","Gold","Athletics",3
"61162","F",25,174,62,"GDR","Gold","Athletics",3
"61182","F",23,163,59,"NOR","Gold","Biathlon",3
"61184","F",23,163,59,"NOR","Bronze","Biathlon",3
"61186","F",23,163,59,"NOR","Bronze","Biathlon",3
"61213","M",22,186,77,"SWE","Bronze","Tennis",1
"61214","M",22,186,77,"SWE","Bronze","Tennis",1
"61220","F",31,178,75,"GBR","Silver","Rowing",1
"61235","F",27,176,70,"AUS","Bronze","Softball",1
"61236","F",31,176,70,"AUS","Bronze","Softball",1
"61237","F",35,176,70,"AUS","Silver","Softball",1
"61254","M",24,185,72,"GER","Bronze","Nordic Combined",1
"61261","M",32,205,107,"BRA","Gold","Volleyball",2
"61276","F",24,171,62,"AUT","Silver","Alpine Skiing",3
"61287","M",25,180,78,"AUT","Silver","Bobsleigh",1
"61296","M",26,186,79,"AUT","Silver","Biathlon",1
"61301","M",30,186,79,"AUT","Bronze","Biathlon",1
"61310","F",18,167,64,"USA","Bronze","Swimming",3
"61311","F",18,167,64,"USA","Bronze","Swimming",3
"61312","F",18,167,64,"USA","Gold","Swimming",3
"61319","M",22,188,86,"USA","Gold","Swimming",2
"61323","M",25,168,72,"GBR","Silver","Cycling",1
"61339","M",28,171,80,"SWE","Bronze","Curling",1
"61349","M",27,191,98,"SWE","Silver","Ice Hockey",2
"61355","M",32,196,91,"SWE","Gold","Fencing",2
"61362","M",33,179,73,"SWE","Gold","Shooting",1
"61364","M",28,175,72,"BRA","Silver","Football",1
"61378","M",22,184,76,"AUS","Silver","Cycling",1
"61380","F",20,171,65,"AUS","Bronze","Cycling",3
"61394","M",22,198,94,"AUS","Bronze","Rowing",2
"61417","M",25,195,86,"BRA","Bronze","Basketball",2
"61418","M",29,195,86,"BRA","Bronze","Basketball",2
"61420","F",26,178,67,"SWE","Bronze","Ice Hockey",1
"61421","F",30,178,67,"SWE","Silver","Ice Hockey",1
"61446","M",23,183,72,"AUS","Bronze","Rowing",1
"61447","M",27,183,72,"AUS","Silver","Rowing",1
"61448","M",31,183,72,"AUS","Silver","Rowing",1
"61479","M",30,182,73,"GBR","Silver","Athletics",1
"61480","M",34,182,73,"GBR","Gold","Athletics",1
"61502","M",21,185,82,"JAM","Silver","Athletics",1
"61513","M",20,176,64,"CAN","Bronze","Athletics",3
"61514","M",24,176,64,"CAN","Bronze","Athletics",3
"61515","M",24,176,64,"CAN","Bronze","Athletics",3
"61516","M",24,176,64,"CAN","Bronze","Athletics",3
"61517","M",28,176,64,"CAN","Bronze","Athletics",3
"61524","F",20,175,68,"USA","Gold","Basketball",1
"61525","F",24,175,68,"USA","Gold","Basketball",1
"61526","F",28,175,68,"USA","Bronze","Basketball",1
"61527","F",32,175,68,"USA","Gold","Basketball",1
"61528","F",36,175,68,"USA","Gold","Basketball",1
"61531","F",23,163,57,"USA","Bronze","Athletics",3
"61543","F",27,182,76,"FRA","Silver","Handball",1
"61566","M",22,194,90,"GER","Gold","Rowing",2
"61606","F",20,170,58,"JPN","Silver","Synchronized Swimming",3
"61607","F",26,175,63,"JPN","Bronze","Volleyball",3
"61611","M",26,187,81,"IRL","Silver","Boxing",1
"61620","M",25,181,79,"NGR","Bronze","Athletics",1
"61622","M",22,174,65,"NGR","Bronze","Athletics",3
"61637","M",27,185,90,"GER","Bronze","Bobsleigh",2
"61645","F",14,174,57,"HUN","Silver","Swimming",3
"61646","F",14,174,57,"HUN","Gold","Swimming",3
"61647","F",17,174,57,"HUN","Gold","Swimming",3
"61648","F",17,174,57,"HUN","Gold","Swimming",3
"61649","F",17,174,57,"HUN","Gold","Swimming",3
"61650","F",21,174,57,"HUN","Gold","Swimming",3
"61651","F",21,174,57,"HUN","Bronze","Swimming",3
"61657","F",19,160,49,"HUN","Bronze","Gymnastics",3
"61677","M",28,196,93,"NED","Silver","Rowing",2
"61714","F",18,157,54,"SUI","Bronze","Ice Hockey",3
"61717","M",33,179,89,"SUI","Bronze","Curling",2
"61718","M",41,179,89,"SUI","Bronze","Curling",2
"61722","M",29,198,104,"GBR","Silver","Rowing",2
"61723","M",33,198,104,"GBR","Bronze","Rowing",2
"61730","M",23,182,83,"AUS","Gold","Hockey",1
"61761","F",24,162,59,"HUN","Bronze","Canoeing",3
"61776","M",25,187,78,"ESP","Bronze","Hockey",1
"61796","M",23,172,59,"JPN","Bronze","Swimming",3
"61799","M",23,188,77,"FRG","Bronze","Athletics",1
"61808","M",26,168,64,"GER","Gold","Equestrianism",3
"61812","M",24,174,77,"GER","Bronze","Canoeing",1
"61821","M",28,186,70,"FRG","Gold","Equestrianism",1
"61823","M",31,186,70,"GER","Bronze","Equestrianism",1
"61832","F",22,166,58,"GDR","Gold","Athletics",3
"61845","M",22,181,95,"GDR","Silver","Luge",2
"61846","M",25,191,90,"FRG","Bronze","Rowing",2
"61848","F",15,165,58,"GDR","Silver","Speed Skating",3
"61851","F",23,165,58,"GDR","Silver","Speed Skating",3
"61852","F",23,165,58,"GDR","Silver","Speed Skating",3
"61853","F",23,165,58,"GDR","Gold","Speed Skating",3
"61856","F",27,165,58,"GDR","Bronze","Speed Skating",3
"61857","F",27,165,58,"GDR","Silver","Speed Skating",3
"61858","F",27,165,58,"GDR","Silver","Speed Skating",3
"61880","M",20,170,69,"GDR","Gold","Canoeing",3
"61890","F",27,170,70,"SUI","Silver","Canoeing",1
"61899","M",24,204,97,"FRG","Gold","Rowing",2
"61900","M",28,204,97,"GER","Bronze","Rowing",2
"61915","F",15,167,61,"GDR","Silver","Swimming",3
"61916","M",23,196,91,"GDR","Gold","Rowing",2
"61918","M",23,169,58,"GER","Silver","Athletics",3
"61921","M",32,186,85,"FRG","Gold","Canoeing",2
"61937","M",22,174,60,"NOR","Bronze","Ski Jumping",3
"61947","F",16,170,57,"GDR","Silver","Swimming",3
"61961","F",29,176,69,"NED","Bronze","Rowing",1
"61969","M",26,185,75,"NED","Gold","Hockey",1
"61970","M",30,185,75,"NED","Silver","Hockey",1
"61978","M",27,183,80,"GER","Bronze","Hockey",1
"61994","M",22,184,82,"ISL","Silver","Athletics",1
"62001","M",22,208,120,"LTU","Bronze","Basketball",2
"62002","M",26,208,120,"LTU","Bronze","Basketball",2
"62003","M",30,208,120,"LTU","Bronze","Basketball",2
"62005","F",25,177,66,"FRG","Bronze","Rowing",1
"62035","M",24,180,69,"USA","Bronze","Athletics",1
"62036","M",24,180,69,"USA","Silver","Athletics",1
"62072","M",28,180,81,"CAN","Bronze","Figure Skating",1
"62073","M",30,180,81,"CAN","Bronze","Figure Skating",1
"62120","M",23,191,83,"SWE","Silver","Handball",2
"62132","M",23,196,98,"SWE","Silver","Handball",2
"62135","M",26,171,64,"SWE","Bronze","Athletics",3
"62136","M",26,171,64,"SWE","Gold","Athletics",3
"62140","M",31,188,98,"CAN","Bronze","Sailing",2
"62141","M",25,187,75,"SWE","Bronze","Athletics",1
"62189","M",20,179,73,"SWE","Bronze","Ice Hockey",1
"62190","M",25,183,85,"SWE","Bronze","Ice Hockey",1
"62191","M",29,183,85,"SWE","Bronze","Ice Hockey",1
"62208","M",22,178,71,"FIN","Gold","Gymnastics",1
"62220","M",27,180,70,"SWE","Bronze","Athletics",1
"62231","M",22,188,86,"SWE","Silver","Ice Hockey",2
"62232","M",25,184,90,"URS","Bronze","Bobsleigh",2
"62245","M",20,181,75,"NGR","Silver","Football",1
"62277","M",27,165,102,"SWE","Bronze","Sailing",2
"62295","M",25,176,58,"MAR","Silver","Athletics",3
"62296","M",29,176,58,"MAR","Gold","Athletics",3
"62297","M",29,176,58,"MAR","Gold","Athletics",3
"62369","M",23,180,61,"MAR","Silver","Athletics",3
"62650","F",22,162,50,"MAR","Gold","Athletics",3
"62730","M",31,185,91,"EGY","Bronze","Boxing",2
"62830","F",21,167,61,"BRA","Silver","Football",3
"62841","M",27,183,83,"SWE","Bronze","Ice Hockey",1
"62842","M",29,190,95,"SWE","Bronze","Athletics",2
"62844","M",21,189,85,"NOR","Silver","Nordic Combined",2
"62850","M",21,172,70,"CAN","Bronze","Equestrianism",1
"62854","M",34,172,70,"CAN","Gold","Equestrianism",1
"62871","M",22,180,84,"AUS","Bronze","Hockey",1
"62872","M",26,180,84,"AUS","Gold","Hockey",1
"62884","F",17,172,65,"CUB","Silver","Athletics",3
"62885","F",21,172,65,"CUB","Bronze","Athletics",3
"62916","M",28,194,90,"YUG","Gold","Handball",2
"62924","F",22,177,66,"SWE","Bronze","Ice Hockey",1
"62925","F",26,177,66,"SWE","Silver","Ice Hockey",1
"62926","F",19,170,59,"RUS","Bronze","Sailing",3
"62956","M",29,185,88,"CZE","Bronze","Ice Hockey",2
"62971","F",16,167,68,"SWE","Silver","Ice Hockey",3
"62974","F",18,171,63,"NOR","Silver","Handball",3
"62997","F",21,184,78,"BRA","Bronze","Volleyball",1
"63030","M",28,183,79,"NOR","Gold","Cross Country Skiing",1
"63031","M",28,183,79,"NOR","Gold","Cross Country Skiing",1
"63041","M",26,188,82,"USA","Gold","Shooting",1
"63058","F",30,174,64,"GRE","Silver","Water Polo",3
"63070","M",21,188,102,"GBR","Gold","Weightlifting",2
"63071","M",21,188,102,"GBR","Silver","Weightlifting",2
"63090","M",22,181,68,"AUS","Gold","Athletics",1
"63117","M",25,181,67,"GBR","Silver","Athletics",1
"63141","F",17,169,59,"USA","Bronze","Swimming",3
"63142","F",17,169,59,"USA","Gold","Swimming",3
"63143","F",17,169,59,"USA","Bronze","Swimming",3
"63144","F",17,169,59,"USA","Gold","Swimming",3
"63149","M",26,175,80,"GBR","Bronze","Badminton",1
"63153","M",22,171,60,"USA","Bronze","Boxing",3
"63160","F",23,183,65,"USA","Gold","Athletics",1
"63161","M",25,160,50,"GBR","Gold","Rowing",3
"63166","M",23,181,86,"USA","Silver","Archery",1
"63167","M",27,181,86,"USA","Bronze","Archery",1
"63168","M",27,181,86,"USA","Silver","Archery",1
"63181","M",30,185,82,"CAN","Silver","Speed Skating",1
"63182","M",23,160,56,"IRI","Bronze","Weightlifting",3
"63186","M",29,176,53,"AUS","Bronze","Hockey",3
"63188","M",23,191,87,"AUS","Silver","Hockey",2
"63189","M",27,191,87,"AUS","Bronze","Hockey",2
"63202","F",25,180,80,"USA","Gold","Rowing",1
"63209","F",18,179,73,"AUS","Gold","Swimming",1
"63210","F",18,179,73,"AUS","Silver","Swimming",1
"63211","F",18,179,73,"AUS","Silver","Swimming",1
"63212","F",22,179,73,"AUS","Gold","Swimming",1
"63213","F",22,179,73,"AUS","Silver","Swimming",1
"63238","M",24,182,74,"SWE","Bronze","Cross Country Skiing",1
"63249","M",28,180,70.5,"FIN","Bronze","Biathlon",1
"63258","M",31,187,89,"FIN","Silver","Ice Hockey",2
"63262","F",28,180,78,"ESP","Bronze","Handball",1
"63281","M",24,177,70,"YUG","Bronze","Football",1
"63316","M",20,182,85,"DEN","Gold","Sailing",1
"63317","M",24,182,85,"DEN","Gold","Sailing",1
"63318","M",28,182,85,"DEN","Gold","Sailing",1
"63319","M",32,182,85,"DEN","Gold","Sailing",1
"63342","F",29,162,70,"FRA","Bronze","Judo",3
"63346","M",31,190,80,"BRA","Gold","Beach Volleyball",1
"63347","M",35,190,80,"BRA","Bronze","Beach Volleyball",1
"63348","M",39,190,80,"BRA","Silver","Beach Volleyball",1
"63359","M",25,189,93,"GER","Bronze","Bobsleigh",2
"63360","M",33,189,93,"GER","Gold","Bobsleigh",2
"63374","M",27,183,87,"NGR","Bronze","Athletics",2
"63382","M",26,170,66,"USA","Silver","Cycling",3
"63410","F",14,158,42,"URS","Silver","Diving",3
"63428","F",27,173,63,"GDR","Bronze","Athletics",3
"63435","M",28,182,81,"GER","Bronze","Hockey",1
"63440","F",24,171,67,"ITA","Silver","Water Polo",3
"63443","M",23,175,84,"USA","Gold","Shooting",1
"63445","M",27,175,84,"USA","Silver","Shooting",1
"63447","M",31,175,84,"USA","Bronze","Shooting",1
"63449","F",27,162,61,"GBR","Silver","Badminton",3
"63462","F",22,171,74,"JPN","Gold","Softball",1
"63463","F",23,161,61,"JPN","Gold","Judo",3
"63511","M",30,178,80,"PAR","Silver","Football",1
"63513","M",24,178,73,"USA","Bronze","Athletics",1
"63525","F",13,172,59,"GDR","Silver","Swimming",3
"63526","F",13,172,59,"GDR","Silver","Swimming",3
"63527","F",13,172,59,"GDR","Silver","Swimming",3
"63528","F",17,172,59,"GDR","Gold","Swimming",3
"63529","F",17,172,59,"GDR","Gold","Swimming",3
"63530","F",17,172,59,"GDR","Silver","Swimming",3
"63531","F",17,172,59,"GDR","Gold","Swimming",3
"63532","F",17,172,59,"GDR","Gold","Swimming",3
"63543","F",20,163,56,"GER","Gold","Luge",3
"63546","M",21,165,77,"GER","Bronze","Cycling",1
"63547","M",25,165,77,"GER","Bronze","Cycling",1
"63550","F",24,175,69,"USA","Bronze","Volleyball",1
"63568","M",25,170,120,"JPN","Bronze","Judo",2
"63573","M",23,161,58,"JPN","Gold","Gymnastics",3
"63580","M",27,161,58,"JPN","Gold","Gymnastics",3
"63581","M",27,161,58,"JPN","Gold","Gymnastics",3
"63582","M",27,161,58,"JPN","Silver","Gymnastics",3
"63584","M",27,161,58,"JPN","Gold","Gymnastics",3
"63589","M",31,161,58,"JPN","Gold","Gymnastics",3
"63591","M",31,161,58,"JPN","Silver","Gymnastics",3
"63601","M",29,198,104,"EST","Silver","Rowing",2
"63603","M",37,198,104,"EST","Bronze","Rowing",2
"63608","M",19,180,76,"FRG","Silver","Fencing",1
"63639","M",24,202,90,"ROU","Bronze","Volleyball",2
"63651","M",27,175,68,"INA","Bronze","Badminton",1
"63658","M",21,165,57,"SWE","Bronze","Athletics",3
"63663","M",25,165,57,"SWE","Silver","Athletics",3
"63698","M",24,176,65,"GER","Bronze","Athletics",1
"63699","M",24,176,65,"GER","Silver","Athletics",1
"63706","M",26,175,70,"GER","Bronze","Football",1
"63709","M",25,188,95,"GDR","Bronze","Sailing",2
"63724","M",29,180,75,"NOR","Bronze","Speed Skating",1
"63754","M",24,164,63,"URS","Gold","Boxing",3
"63780","M",29,184,96,"GER","Silver","Wrestling",2
"63786","F",24,160,71,"ZIM","Gold","Hockey",3
"63813","F",22,175,78,"USA","Bronze","Ice Hockey",1
"63814","F",26,175,78,"USA","Silver","Ice Hockey",1
"63820","F",18,180,72,"GDR","Gold","Speed Skating",1
"63822","F",22,180,72,"GDR","Silver","Speed Skating",1
"63823","F",22,180,72,"GDR","Gold","Speed Skating",1
"63824","F",22,180,72,"GDR","Gold","Speed Skating",1
"63825","F",22,180,72,"GDR","Silver","Speed Skating",1
"63826","F",26,180,72,"GDR","Bronze","Speed Skating",1
"63827","F",26,180,72,"GDR","Silver","Speed Skating",1
"63828","F",26,180,72,"GDR","Silver","Speed Skating",1
"63832","M",23,172,54,"MGL","Gold","Boxing",3
"63833","M",21,167,64,"AUT","Bronze","Alpine Skiing",3
"63844","F",26,165,57,"GBR","Gold","Athletics",3
"63845","F",30,165,57,"GBR","Silver","Athletics",3
"63852","M",24,178,70,"DEN","Silver","Football",1
"63855","M",28,198,93,"USA","Gold","Rowing",2
"63860","M",26,178,79,"CAN","Gold","Curling",1
"63863","M",20,174,69,"ESP","Silver","Hockey",1
"63870","M",21,189,74,"MEX","Gold","Football",1
"63871","M",25,175,80,"CUB","Gold","Baseball",1
"63872","M",29,175,80,"CUB","Silver","Baseball",1
"63887","M",31,192,100,"ESP","Bronze","Handball",2
"63888","M",27,193,92,"ESP","Bronze","Handball",2
"63931","M",22,174,78,"CMR","Gold","Football",1
"63933","F",24,178,88,"FRA","Bronze","Taekwondo",1
"63951","F",22,165,60,"FRG","Silver","Alpine Skiing",3
"64021","M",24,182,90,"CZE","Bronze","Ice Hockey",2
"64086","F",22,176,70,"YUG","Gold","Handball",1
"64110","M",26,178,75,"HUN","Bronze","Boxing",1
"64138","F",24,187,80,"GER","Bronze","Luge",1
"64139","F",26,187,80,"GER","Silver","Luge",1
"64141","F",34,187,80,"GER","Bronze","Bobsleigh",1
"64155","F",31,170,58,"HUN","Bronze","Handball",3
"64157","M",25,180,79,"HUN","Gold","Fencing",1
"64163","F",17,149,38,"ROU","Gold","Gymnastics",3
"64166","F",17,149,38,"ROU","Bronze","Gymnastics",3
"64168","M",21,188,69,"KEN","Gold","Athletics",1
"64194","M",25,181,72,"FRG","Bronze","Equestrianism",1
"64196","M",29,181,72,"FRG","Gold","Equestrianism",1
"64198","F",27,184,79,"DEN","Silver","Rowing",1
"64218","M",22,183,98,"USA","Gold","Sailing",2
"64230","M",26,179,78,"SWE","Bronze","Ice Hockey",1
"64235","F",27,176,70,"SWE","Bronze","Canoeing",1
"64241","M",33,187,94,"SWE","Silver","Ice Hockey",2
"64242","M",29,195,102,"SWE","Silver","Ice Hockey",2
"64267","F",20,172,55,"BRA","Silver","Football",3
"64281","F",29,163,62,"NOR","Bronze","Handball",3
"64285","F",23,170,67,"DEN","Bronze","Rowing",3
"64289","M",25,178,74,"NOR","Silver","Speed Skating",1
"64295","M",34,191,83,"DEN","Bronze","Badminton",2
"64307","M",25,190,75,"NOR","Silver","Cross Country Skiing",1
"64325","F",15,179,67,"SWE","Silver","Swimming",1
"64380","M",24,184,85,"SWE","Bronze","Ice Hockey",1
"64381","M",28,184,85,"SWE","Bronze","Ice Hockey",1
"64382","M",28,184,73,"SWE","Gold","Athletics",1
"64392","M",22,177,78,"SWE","Bronze","Ice Hockey",1
"64400","M",21,173,68,"SWE","Bronze","Alpine Skiing",1
"64413","M",28,188,89,"SWE","Silver","Ice Hockey",2
"64414","F",22,172,66,"SWE","Silver","Football",3
"64437","M",24,179,85,"SWE","Gold","Ice Hockey",1
"64441","M",22,194,96,"SWE","Bronze","Ice Hockey",2
"64448","M",44,176,66,"SWE","Silver","Equestrianism",1
"64463","M",20,189,87,"SWE","Bronze","Ice Hockey",2
"64464","M",28,189,87,"SWE","Bronze","Ice Hockey",2
"64473","M",30,180,74,"SWE","Bronze","Biathlon",1
"64519","M",27,180,71,"FRA","Silver","Cycling",1
"64520","M",27,180,71,"FRA","Gold","Cycling",1
"64548","F",18,172,67,"GER","Silver","Hockey",3
"64551","F",30,172,67,"GER","Gold","Hockey",3
"64565","M",28,167,66,"TUR","Silver","Wrestling",3
"64584","F",19,158,50,"GDR","Bronze","Figure Skating",3
"64592","M",24,194,83,"ITA","Bronze","Volleyball",2
"64593","F",24,180,68,"ITA","Silver","Fencing",1
"64594","F",24,180,68,"ITA","Gold","Fencing",1
"64599","M",22,178,75,"HUN","Bronze","Fencing",1
"64623","F",20,162,59,"GER","Silver","Alpine Skiing",3
"64629","F",24,162,59,"GER","Silver","Alpine Skiing",3
"64633","F",28,162,59,"GER","Bronze","Alpine Skiing",3
"64641","M",25,178,84,"USA","Gold","Ice Hockey",1
"64648","M",19,191,80,"USA","Gold","Swimming",1
"64649","M",19,191,80,"USA","Silver","Swimming",1
"64651","M",35,191,80,"USA","Gold","Swimming",1
"64652","M",35,191,80,"USA","Gold","Swimming",1
"64669","M",25,185,84,"ROU","Silver","Canoeing",1
"64676","M",28,184,78,"BRA","Gold","Volleyball",1
"64677","M",32,184,78,"BRA","Silver","Volleyball",1
"64678","M",36,184,78,"BRA","Silver","Volleyball",1
"64679","M",40,184,78,"BRA","Gold","Volleyball",1
"64709","M",27,187,77,"ESP","Silver","Hockey",1
"64716","F",19,163,48,"GDR","Bronze","Gymnastics",3
"64721","M",23,176,73,"GER","Gold","Canoeing",1
"64740","M",29,179,74,"ESP","Bronze","Cycling",1
"64741","M",29,179,74,"ESP","Bronze","Cycling",1
"64779","M",30,176,70,"ESP","Silver","Hockey",1
"64787","M",34,179,90,"ESP","Silver","Cycling",2
"64829","M",28,160,64,"GRE","Gold","Sailing",3
"64849","M",24,175,64,"CAN","Gold","Athletics",3
"64861","F",19,180,66,"ESP","Silver","Water Polo",1
"64867","M",27,172,58,"ESP","Silver","Taekwondo",3
"64872","F",22,160,51,"USA","Bronze","Boxing",3
"64882","F",23,172,65,"NOR","Bronze","Football",3
"64883","F",27,172,65,"NOR","Gold","Football",3
"64884","M",30,193,95,"USA","Bronze","Rowing",2
"64893","M",27,178,86,"PUR","Silver","Wrestling",1
"64900","M",24,175,72,"ARG","Silver","Sailing",1
"64901","M",28,175,72,"ARG","Silver","Sailing",1
"64902","M",32,175,72,"ARG","Bronze","Sailing",1
"64903","M",36,175,72,"ARG","Bronze","Sailing",1
"64931","F",22,156,48,"MEX","Bronze","Diving",3
"64933","F",25,156,48,"MEX","Silver","Diving",3
"64951","F",20,173,70,"MEX","Gold","Taekwondo",1
"64952","F",24,173,70,"MEX","Bronze","Taekwondo",1
"64953","F",28,173,70,"MEX","Silver","Taekwondo",1
"64958","F",24,168,55,"AUS","Gold","Modern Pentathlon",3
"64964","M",21,181,74,"FRA","Bronze","Swimming",1
"64976","M",27,190,90,"ESP","Bronze","Handball",2
"64978","M",23,182,72,"PAR","Silver","Football",1
"64981","M",20,173,76,"SUI","Silver","Rowing",1
"64994","M",22,192,89,"USA","Gold","Rowing",2
"65008","F",23,167,67,"GER","Gold","Canoeing",3
"65009","F",27,167,67,"FRG","Gold","Canoeing",3
"65028","M",23,181,69,"FRA","Bronze","Canoeing",1
"65029","M",22,185,75,"FRA","Gold","Canoeing",1
"65030","M",26,185,75,"FRA","Gold","Canoeing",1
