"","Sex","Age","Height","Weight","NOC","Medal","Sport","cluster"
"119905","M",26,181,82,"EUN","Gold","Fencing",1
"119907","M",30,181,82,"RUS","Gold","Fencing",1
"119910","M",26,170,65,"EUN","Silver","Biathlon",3
"119913","M",28,170,65,"RUS","Silver","Biathlon",3
"119935","F",22,167,65,"USA","Silver","Swimming",3
"119955","M",26,188,80,"DEN","Gold","Sailing",1
"119988","M",24,178,77,"USA","Gold","Rugby",1
"119989","M",24,178,77,"USA","Silver","Athletics",1
"119991","M",24,178,77,"USA","Gold","Athletics",1
"119993","M",29,183,82,"USA","Silver","Modern Pentathlon",1
"119995","M",26,182,80,"GBR","Gold","Hockey",1
"120008","M",22,176,63,"URS","Bronze","Athletics",3
"120010","M",26,163,52,"BUL","Gold","Wrestling",3
"120011","M",29,163,52,"BUL","Gold","Wrestling",3
"120020","M",31,177,77,"USA","Gold","Ice Hockey",1
"120021","M",25,180,80,"URS","Silver","Canoeing",1
"120037","F",25,177,62,"GDR","Bronze","Athletics",3
"120041","M",30,177,62,"KEN","Silver","Athletics",3
"120046","M",21,183,74,"FIN","Bronze","Cross Country Skiing",1
"120047","M",25,183,74,"FIN","Bronze","Cross Country Skiing",1
"120050","M",25,183,74,"FIN","Bronze","Cross Country Skiing",1
"120058","M",33,183,74,"FIN","Bronze","Cross Country Skiing",1
"120061","M",35,183,74,"FIN","Bronze","Cross Country Skiing",1
"120064","M",39,183,74,"FIN","Bronze","Cross Country Skiing",1
"120069","F",28,176,68.5,"FIN","Gold","Cross Country Skiing",1
"120070","F",28,176,68.5,"FIN","Gold","Cross Country Skiing",1
"120071","F",28,176,68.5,"FIN","Gold","Cross Country Skiing",1
"120072","F",28,176,68.5,"FIN","Bronze","Cross Country Skiing",1
"120076","F",32,176,68.5,"FIN","Bronze","Cross Country Skiing",1
"120080","F",38,176,68.5,"FIN","Bronze","Cross Country Skiing",1
"120081","F",38,176,68.5,"FIN","Bronze","Cross Country Skiing",1
"120084","F",32,155,49,"BRN","Silver","Athletics",3
